,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
217,Piso en venta en Calle de San Salvador,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),599000,225,6.0,4.0,Planta: 7ª,En buen estado,250.00 euros. agua fría. y mantto zonas comunes.,0,0,1,Gasóleo individual,1,0,1
218,"Piso en venta en Calle Progreso, 79, cerca de Calle de los Castiñeiros",Sanxenxo,399500,140,4.0,3.0,Planta: 2ª,En buen estado,0,0,0,0,No tiene,0,0,0
219,Piso en venta en Calle Tranvía,O Porriño,179000,102,3.0,2.0,Planta: 6ª,En buen estado,0,1,0,1,Eléctrica,1,1,0
220,Piso en venta en A Lanzada,Sanxenxo,185000,90,3.0,1.0,,En buen estado,0,0,0,0,No tiene,1,0,0
221,"Piso en venta en Calle del Conde de Torrecedeira, cerca de Calle de Marqués de Valterra",Berbés-Peritos (Distrito Casco Urbano. Vigo),209000,87,3.0,1.0,Planta: 5ª,En buen estado,0,1,0,1,No tiene,0,1,1
222,Piso en venta en Calle de los Cesteiros,Casco Vello (Distrito Casco Urbano. Vigo),119000,30,1.0,1.0,Planta: 3ª,En buen estado,Entre 20 y 40€,1,0,0,Eléctrica,0,0,0
223,"Piso en venta en Avenida das Camelias, cerca de Calle de Pi i Margall",Camelias-Pi y Margall (Distrito Casco Urbano. Vigo),329000,138,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Central,0,0,1
224,Piso en venta en Plaza Martínez Anido A Estrada,A Estrada,128000,105,3.0,3.0,Planta: 1ª,En buen estado,0,1,1,1,Gas natural,1,0,0
225,"Piso en venta en Calle de Madrid, 16",Sanxenxo,360000,107,3.0,2.0,Planta: 1ª,En buen estado,0,0,0,0,No tiene,0,0,0
226,Piso en venta en Calle de Manuel Cuña Novas,Fernández Ladreda-Ciudad de Piedra (Pontevedra Capital),235000,112,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Gas natural,1,1,0
227,Piso en venta en Calle de Cangas,Coiro (San Salvador). Municipio de Cangas,150000,80,2.0,1.0,,En buen estado,0,1,0,0,No tiene,0,1,0
228,Piso en venta en Calle de la Reconquista,Centro-Areal (Distrito Casco Urbano. Vigo),800000,231,4.0,3.0,,En buen estado,0,1,0,1,No tiene,0,0,1
229,Apartamento en venta en Calle de Santa Tegra,Teis (Vigo),120000,33,1.0,1.0,Planta: 1ª,En buen estado,0,1,0,1,Central,0,0,1
230,Apartamento en venta en Casco Vello,Casco Vello (Distrito Casco Urbano. Vigo),590000,180,2.0,3.0,,En buen estado,0,0,0,0,No tiene,0,0,0
231,Piso en venta en Calle de Alfonso Vázquez Fraile,Ponteareas,110000,100,3.0,2.0,,En buen estado,Entre 20 y 40€,1,1,1,No tiene,1,0,0
232,"Piso en venta en Calle de Cristo, cerca de Calle de la Cruz Branca",Casablanca-Calvario (Distrito Casco Urbano. Vigo),240000,112,3.0,2.0,Planta: 1ª,En buen estado,105.00 euros.,1,0,1,Gas individual,1,0,0
233,"Piso en venta en Avenida Vigo, cerca de Camino Parra",Chapela (San Fausto). Municipio de Redondela,130000,104,3.0,1.0,Planta: 1ª,En buen estado,50.00 euros. agua y ahora derrama de 40 para pintar,0,0,0,Eléctrica por acumul,0,1,1
234,Apartamento en venta en Calle de Zaragoza,Praza da Independencia (Distrito Casco Urbano. Vigo),125000,38,1.0,1.0,Planta: 2ª,Reformado,Entre 20 y 40€,1,0,1,No tiene,0,1,1
