,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
502,Piso en venta en Avenida de Médico Ballina,O Burgo-Campus Universitario (Pontevedra Capital),120000,70.0,2.0,2.0,Planta: Bajo,En buen estado,0,1,0,1,No tiene,1,0,0
503,Piso en venta en Pumariño,Marín (Escuela Naval Militar),150000,112.0,4.0,2.0,Planta: 5ª,En buen estado,0,1,1,1,Gas natural,1,1,0
504,Piso en venta en Calle de Ricardo Santos,Sanxenxo,240000,85.0,2.0,2.0,,En buen estado,0,1,0,1,Individual,0,0,1
505,Piso en venta en Poio,Poio (San Juan-Albar),160000,94.0,3.0,3.0,Planta: 1ª,En buen estado,0,1,0,0,Gas individual,1,0,0
506,Piso en venta en Castrelos-Balaídos-Miñoca,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),166000,111.0,3.0,2.0,Planta: 3ª,A reformar,0,0,0,1,"Si, sin especificar",1,1,0
507,Piso en venta en Avenida de Santo Domingo de Guzmán,Salcidos (A Guarda),126000,91.0,3.0,2.0,Planta: 1ª,En buen estado,40,1,0,1,Central,1,0,0
508,Piso en venta en O Hio (Santo Andre),O Hio (Santo Andre). Municipio de Cangas,165000,80.0,2.0,1.0,Planta: 1ª,En buen estado,Entre 40 y 60€,1,0,1,Eléctrica,1,0,1
509,Piso en venta en Avda de Lugo,A Seca-Os Salgueriños (Pontevedra Capital),160000,102.0,3.0,2.0,Planta: 6ª,En buen estado,Entre 60 y 80€,1,0,1,Central,1,1,0
510,Piso en venta en Sanxenxo Playa,Sanxenxo,330000,93.0,3.0,2.0,Planta: 3ª,En buen estado,0,1,0,0,No tiene,0,1,0
511,Piso en venta en Aragón-Travesía,Fátima-Travesía de Vigo-San Xoán (Distrito Casco Urbano. Vigo),220000,82.0,3.0,2.0,Planta: 9ª,En buen estado,42.00 euros. 42 euros piso y garaje 80 euros una vez al año,1,0,1,Eléctrica,0,0,1
512,Piso en venta en Centro,Vilagarcía de Arousa,214000,103.0,3.0,2.0,Planta: 2ª,En buen estado,0,1,0,0,Gas natural,0,1,0
513,Piso en venta en Calle de La Coruña,Salceda de Caselas,126500,93.0,3.0,2.0,Planta: 1ª,En buen estado,0,1,1,1,Eléctrica,1,0,0
514,Apartamento en venta en Calle Carretera Codeseda A -Campo,Campo Lameiro,65000,78.0,2.0,1.0,,En buen estado,0,0,0,0,No tiene,0,0,1
